source,persons,time,nb_articles,avg_tone
ouest-france.fr,laura daniel,2021/2,10,-1.1049501767920304
ouest-france.fr,qassem soleimani,2021/1,10,-7.011533543494503
sudouest.fr,wang yi,2021/1,10,-4.40140845070423
ouest-france.fr,simone veil,2021/3,10,-0.729040097205346
sudouest.fr,tom andrews,2021/2,10,-4.418215577432643
ouest-france.fr,george floyd,2021/1,10,-1.765281636776963
ouest-france.fr,souladakis hubert,2021/3,10,-2.15311004784689
sudouest.fr,emma coronel,2021/3,10,-4.72589792060491
ouest-france.fr,tom wolf,2021/1,10,-6.41330166270784
sudouest.fr,calais michel tournaire,2021/1,10,-3.5525948382464443
sudouest.fr,gabriel attal,2021/3,10,-2.6910439000422164
ouest-france.fr,afp stefano maggi,2021/3,10,1.16504854368932
sudouest.fr,natalia repnikova,2021/3,10,-8.06045340050378
ouest-france.fr,kim jong,2021/1,10,-0.48426150121065403
ouest-france.fr,mister you,2021/3,10,-4.6195652173913
sudouest.fr,hisham el hanafi,2021/3,9,-5.31732418524871
ouest-france.fr,ali khamenei,2021/3,9,0.573065902578796
ouest-france.fr,lokman slim,2021/2,9,-4.83870967741936
ouestaf.com,issoufou mahamadou,2021/2,9,-0.475866757307954
ouest-france.fr,george pompidou,2021/1,9,-1.4843544894228755
sudouest.fr,michel tournaire,2021/1,9,-3.43053173241853
ouest-france.fr,oprah winfrey meghan,2021/3,9,-1.73410404624277
ouest-france.fr,sebastian kurz,2021/3,9,-6.77881197078405
sudouest.fr,pedro sanchez,2021/3,9,-2.5644939595892313
ouest-france.fr,heiko maas,2021/2,9,-5.08849557522124
ouest-france.fr,souladakis lrem,2021/3,9,-1.13122171945701
ouest-france.fr,quentin pauchet,2021/1,9,-3.42612419700214
ouest-france.fr,rasha al-ameer,2021/2,9,-4.83870967741936
sudouest.fr,joe biden alejandro mayorkas,2021/2,9,-0.17282945365137167
ouestaf.com,saley daouda,2021/2,9,-0.475866757307954
sudouest.fr,armen sarkisian,2021/3,9,-6.08695652173913
sudouest.fr,euronext ipos,2021/1,9,-3.08324768756423
sudouest.fr,marcelo rebelo sousa,2021/1,9,-3.08324768756423
ouest-france.fr,rasmus schultz,2021/1,9,-7.82312925170068
ouest-france.fr,emmanuel faber,2021/3,9,-0.8652438878092089
ouest-france.fr,sinn fein,2021/3,9,-3.32480818414322
ouest-france.fr,bernard cazeneuve,2021/2,9,-2.58358662613982
ouest-france.fr,christophe castaner,2021/3,9,-1.6139378899005243
ouest-france.fr,alexander lukashenko,2021/1,9,-1.35135135135135
ouest-france.fr,afp khin maung zaw,2021/3,9,-8.63636363636364
ouest-france.fr,audrey pulvar,2021/3,9,-1.13122171945701
ouestaf.com,djibo mahamadou,2021/2,9,-0.475866757307954
sudouest.fr,hisham el hanafi,2021/2,9,-5.31732418524871
ouest-france.fr,charles michel,2021/1,9,0.746268656716418
sudouest.fr,yassine bousseria,2021/3,9,-5.31732418524871
ouestaf.com,macky sall,2021/3,9,-6.17957578228898
ouestaf.com,hamet mamadou kau,2021/2,9,-0.475866757307954
ouestaf.com,mamadou tandja,2021/2,9,-0.475866757307954
ouest-france.fr,benyamin netanyahu,2021/1,9,-2.71668822768435
ouest-france.fr,hushkit parcoursup,2021/3,9,1.38057984353428
sudouest.fr,louie gohmert,2021/1,9,-2.77741386086729
ouest-france.fr,yuriko koike,2021/1,9,-2.3438779185905623
ouest-france.fr,emma bell,2021/3,9,-3.32480818414322
ouest-france.fr,matthew boucheron,2021/2,9,-9.30232558139535
sudouest.fr,hisham makran,2021/3,9,-5.31732418524871
ouestaf.com,aboubacar hamani,2021/2,9,-0.475866757307954
ouest-france.fr,odile jacob,2021/1,9,-2.35672201392608
sudouest.fr,yassine bousseria,2021/2,9,-5.31732418524871
sudouest.fr,david schoen,2021/2,9,-3.560195072933229
ouest-france.fr,vaccinlentreprise bayer,2021/1,9,-2.11565585331453
ouest-france.fr,steffen seibert,2021/2,9,-7.946068723782539
sudouest.fr,nancy pelosi,2021/2,9,-3.49854227405248
sudouest.fr,nagorny karabakh,2021/3,9,-6.08695652173913
sudouest.fr,viktor orban,2021/1,9,-3.43053173241853
sudouest.fr,jean-baptiste djebbari,2021/3,9,-5.21739130434783
ouest-france.fr,macky sall,2021/3,9,-6.053395290157089
ouest-france.fr,michael ryan,2021/2,9,-2.58358662613982
ouest-france.fr,david mitchell,2021/3,9,-3.32480818414322
ouestaf.com,assan abdoul nasser,2021/2,9,-0.475866757307954
ouest-france.fr,julian lrem,2021/1,9,-1.4702055334188788
ouest-france.fr,bell emma,2021/3,9,-3.32480818414322
ouestaf.com,daouda algabid,2021/2,9,-0.475866757307954
ouest-france.fr,usman sonko,2021/3,9,-6.053395290157089
sudouest.fr,nikol pachinian,2021/3,9,-6.08695652173913
ouest-france.fr,ian philips,2021/3,9,-8.63636363636364
sudouest.fr,van king,2021/3,9,-8.51063829787234
ouest-france.fr,arlene foster,2021/3,9,-3.32480818414322
sudouest.fr,nicolas sarkozy,2021/2,9,-6.237965655006018
ouestaf.com,moumouni hamidou,2021/2,9,-0.475866757307954
sudouest.fr,liz cheney,2021/2,9,-3.49854227405248
sudouest.fr,hisham makran,2021/2,9,-5.31732418524871
ouest-france.fr,yoshihide suga,2021/1,9,-2.3438779185905623
ouest-france.fr,walid kechida,2021/1,9,-8.04953560371517
sudouest.fr,jacques chirac,2021/3,9,-3.8520770010131695
ouest-france.fr,tanerii mauri,2021/1,9,-3.42612419700214
sudouest.fr,serge sarkisian,2021/3,9,-6.08695652173913
sudouest.fr,steny hoyer,2021/2,9,-3.49854227405248
ouestaf.com,mano dayak,2021/2,9,-0.475866757307954
ouest-france.fr,fabian roussel,2021/3,9,-1.13122171945701
sudouest.fr,kevin mccarthy,2021/2,9,-3.49854227405248
sudouest.fr,tom malinowski,2021/2,9,-3.49854227405248
ouest-france.fr,samir kassir,2021/2,9,-4.83870967741936
ouest-france.fr,vincent brengarth,2021/3,9,-4.61538461538461
sudouest.fr,luc besson,2021/3,9,-8.51063829787234
sudouest.fr,barack obama,2021/2,9,-0.17282945365137167
sudouest.fr,matt gaetz,2021/2,9,-3.49854227405248
ouest-france.fr,ziad takieddine,2021/3,9,-5.731702266249487
sudouest.fr,december darfur,2021/1,8,-3.83522727272727
ouest-france.fr,dominic pezzola,2021/2,8,-5.46654099905749
sudouest.fr,carlos sainz,2021/1,8,-1.39049826187717
sudouest.fr,linde ann,2021/2,8,-8.91938250428817
sudouest.fr,michael ryan,2021/2,8,-4.35835351089588
sudouest.fr,lluis puig,2021/3,8,-2.626943610142605
sudouest.fr,edward balladur,2021/1,8,-2.0460358056266
ouestaf.com,serge balima,2021/2,8,-2.80777537796976
sudouest.fr,sheikh nawaf al-ahmad al-sabah,2021/1,8,0.0
ouest-france.fr,william jr,2021/2,8,-5.46654099905749
sudouest.fr,jair bolsonaro,2021/3,8,-4.387056571702006
ouest-france.fr,sarah matthews,2021/1,8,-3.2846808099602978
sudouest.fr,khin maung,2021/3,8,-7.32984293193717
sudouest.fr,nasser al-attiyah ricky brabec,2021/1,8,-1.39049826187717
ouest-france.fr,rachel powell,2021/2,8,-5.46654099905749
sudouest.fr,jonathan powell clayton,2021/1,8,-5.21042084168337
ouest-france.fr,emily hernandez,2021/2,8,-5.46654099905749
ouestaf.com,brice bicaba,2021/2,8,-2.80777537796976
sudouest.fr,edouard balladur,2021/1,8,-2.0460358056266
ouest-france.fr,stephanie grisham,2021/1,8,-3.2846808099602978
ouest-france.fr,matt hancock,2021/2,8,0.472813238770686
sudouest.fr,ibrahim sangare,2021/2,8,-4.59183673469388
ouestaf.com,ouestaf ouestafnews,2021/2,8,-2.80777537796976
ouest-france.fr,jean-baptiste djebbari,2021/3,8,-2.8743024066968963
sudouest.fr,alexander bortnikov,2021/3,8,-8.30324909747292
ouestaf.com,roch marc christian,2021/2,8,-2.80777537796976
sudouest.fr,carles puigdemont,2021/3,8,-2.626943610142605
ouest-france.fr,andrew pollard,2021/2,8,0.472813238770686
ouest-france.fr,teodoro nguema obiang,2021/3,8,-6.95410292072323
sudouest.fr,adrien van,2021/1,8,-1.39049826187717
sudouest.fr,boris vallaud,2021/1,8,-0.9885741885931912
sudouest.fr,mohamed morsi,2021/1,8,-5.21042084168337
sudouest.fr,camille kouchner,2021/2,8,-7.598566308243726
ouest-france.fr,kamel daoudi,2021/2,8,-5.9967585089141
ouest-france.fr,teodoro obiang nguema,2021/3,8,-6.95410292072323
ouest-france.fr,roselyne bachelot,2021/2,8,1.578646959865415
ouest-france.fr,steven nelson,2021/1,8,-4.41640378548896
ouest-france.fr,manon deshayes,2021/3,8,-1.42679900744417
sudouest.fr,hubert caouissin,2021/2,8,-2.8169014084507
sudouest.fr,jean-jacques bourdin,2021/2,8,-7.32600732600733
ouest-france.fr,josh hawley,2021/1,8,-2.52747252747253
sudouest.fr,pablo quintanilla,2021/1,8,-1.39049826187717
ouest-france.fr,jonathan april thomas guilbaud,2021/3,8,-2.07253886010363
sudouest.fr,lydia troadec,2021/2,8,-2.8169014084507
sudouest.fr,thierry fillion,2021/2,8,-2.8169014084507
ouest-france.fr,sea a granville,2021/1,8,0.16366612111293
ouest-france.fr,andrew cuomo,2021/3,8,-2.9787734639919763
ouest-france.fr,christine lagarde,2021/3,8,-1.42679900744417
ouest-france.fr,jill biden,2021/2,8,-4.14507772020725
ouest-france.fr,calais michel tournaire,2021/1,8,-3.06099283624256
ouest-france.fr,ryan samsel,2021/2,8,-5.46654099905749
ouest-france.fr,derrick evans,2021/2,8,-5.46654099905749
