ID,num_mentions
962302744,4
962303443,4
962303544,4
962303556,4
962304565,4
962305510,4
962305516,4
962305898,4
962309879,4
962310139,4
962310521,4
962310613,4
962310676,4
962310680,4
962311190,4
962312525,4
962312527,4
962315756,4
962315857,4
962315922,4
962319639,4
962223711,4
962223719,4
962224083,4
962224232,4
962227745,4
962229957,4
962230286,4
962230306,4
962237903,4
962240983,4
962241049,4
962242451,4
962243128,4
962244774,4
962246471,4
962247586,4
962247597,4
962249103,4
962249122,4
962250907,4
962250938,4
962250939,4
962250977,4
962251738,4
962254462,4
962255601,4
962256395,4
962258216,4
962258219,4
962258584,4
962258586,4
962261316,4
962261497,4
962261645,4
962263789,4
962264698,4
962264988,4
962265711,4
962265724,4
962265850,4
962265852,4
962266050,4
962266053,4
962271768,4
962271808,4
962271854,4
962271889,4
962273006,4
962273227,4
962273228,4
962274141,4
962275463,4
962275470,4
962275473,4
962275476,4
962275477,4
962275496,4
962275519,4
962277188,4
962277328,4
962278243,4
962279164,4
962279215,4
962280343,4
962282707,4
962283548,4
962283553,4
962284601,4
962289294,4
962290419,4
962290472,4
962291412,4
962291427,4
962291511,4
962291513,4
962291515,4
962291520,4
962291633,4
962295522,4
962297891,4
962298803,4
962298830,4
962298836,4
962301038,4
962301040,4
962301153,4
962301154,4
962301338,4
962301435,4
962301441,4
962301600,4
962303161,4
962304054,4
962304055,4
962305049,4
962305148,4
962305151,4
962305920,4
962305937,4
962306012,4
962306016,4
962306818,4
962308166,4
962309035,4
962309077,4
962310292,4
962310293,4
962311642,4
962312700,4
962312788,4
962314778,4
962317180,4
962317228,4
962317419,4
962319972,4
962320033,4
962320126,4
962320971,4
962321016,4
962323010,4
962328708,4
962339506,4
962220326,3
962220342,3
962220343,3
962220344,3
962220349,3
962220369,3
962222397,3
962222558,3
962224754,3
962226972,3
962229248,3
962235945,3
962236376,3
962244039,3
962245861,3
962245982,3
962245983,3
962249771,3
962251629,3
962262989,3
962263241,3
962264197,3
962264434,3
962265401,3
962269054,3
962270741,3
962272368,3
962272583,3
962274448,3
962274461,3
962274462,3
962274463,3
962274539,3
962276060,3
962282964,3
962284002,3
962284952,3
962287309,3
962287441,3
962290692,3
962290994,3
962291051,3
962292747,3
962292758,3
962298106,3
962298321,3
962299494,3
962302202,3
962302696,3
962302702,3
962302788,3
962303449,3
962303570,3
962304584,3
962309833,3
962310002,3
962310053,3
962316126,3
962316128,3
962316789,3
962317872,3
962317878,3
962318563,3
962277120,3
962295550,3
962305922,3
962306014,3
963351202,3
962220322,2
962220332,2
962220336,2
962220345,2
962220350,2
962220352,2
962220355,2
962220361,2
962220362,2
962220386,2
962220477,2
962222560,2
962222566,2
962223043,2
962223058,2
962223304,2
962223436,2
962224759,2
962224904,2
962224945,2
962226449,2
962226471,2
962226538,2
962226539,2
962226540,2
962226542,2
962227104,2
962227105,2
962227200,2
962228786,2
962229232,2
962229234,2
962229696,2
962232328,2
962232763,2
962234756,2
962234914,2
962234915,2
962235039,2
962235046,2
962235054,2
962235056,2
962235057,2
962236061,2
962236081,2
962236314,2
962236351,2
962236392,2
962236547,2
962239246,2
962240646,2
962241519,2
962241568,2
962242345,2
962242796,2
962246829,2
962249472,2
962249504,2
962249774,2
